orderId;seller;price;quantity;specs;thumbnail
361916106520-888156036023;big-deal365;£2.48;1;"0.96"" I2C IIC SPI Serial 128X64 White OLED LCD LED Display Module for Arduino BU";https://i.ebayimg.com/images/i/361916106520-0-0/s-l140/p.jpg
112081772600-1709018006001;diybox;£2.34;1;"3-5V 0.96"" SPI Serial 128X64 OLED LCD LED Display Module blue yellow Arduino D";https://i.ebayimg.com/images/i/112081772600-0-0/s-l140/p.jpg
141117359063-1431126585004;eternalove2008;£4.99;1;New Flexible 2~6 Multicore Cable Points & Signal Small Power Data AUTO CAR Wire;https://i.ebayimg.com/images/i/141117359063-0-0/s-l140/p.jpg
400773421097-649040450027;wakawakayang;£2.59;1;New Agile 2~6 Multicore Cable Points & Signal Small Power Data AUTO CAR Wire;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
321654414771-1787146062011;buyhere-2011;£1.49;1;USB DC 3.5V - 9V 3W Submersible Water Pump Aquarium Fish Tank Fountain Pond Pump;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
222068343163-1946591623012;dahengteam;£2.28;1;1PCS/5PCS/10PC 10W RGB LED Chip Bulb High Power Lamp SMD Chips For Energy Saving;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
191865768341-1416707299009;shieldsfans;£0.58;1;50Pcs 2N2222 NPN Transistor TO-92 2N2222A 2N2222;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
361897907909-880138140023;icstation;£2.13;1;"0.86"" 0.86in White OLED Display Module 96x32 For Arduino";https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
171532905847-1733214414007;gowin_electronic;£1.18;1;10Pcs IRLZ44N MOSFET N-CH 55V 47A TO-220AB New;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
182387276466-1693339440008;lucky.warm;£0.87;1;20 Pcs USB Female Type A 4-Pin DIP Right Angle Plug Jack Socket Connector LW;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
262478524082-2063269317016;bruceshark-001;£1.08;1;5PCS FQP30N06L FQP30N06 60V LOGIC N-Channel MOSFET TO-220 BS1;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
152139686566-1598760576005;xiumeche-0;£0.76;1;5 Pcs Slide Type Switch Module 2.54mm 6-Bit 6 Position Way DIP Red Pitch NEW;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
252987360200-2087966735015;lovesell2013;£0.76;1;Digital PCF8591 AD/DA Conversion of to Analog Converter Module Temperature NEW L;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
152137179991-1590615601005;xiumeche-0;£0.76;1;1PCS PCF8591 AD/DA converter module analog to digital to analog conversion Ardui;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
181847187862-1672657765008;satisfyelectronics;£0.93;1;1PCS New ATTINY85-20PU ATMEL DIP-8 Tiny85-20PU CHIP IC;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
351874356079-901668310022;gc_supermarket;£1.02;1;1/2/5/10PCS ATTINY85-20PU IC MCU 8BIT 8KB FLASH 8DIP New Good quality D34;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
201908842214-1538042658010;alice1101983;£1.89;1;Mini ATTINY85 Micro USB Development Programmer Board for Tiny85-20PU DIP-8 IC;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
182550023146-1672657764008;modulefans;£0.98;1;Mini ATTINY85 Micro USB Development Programmer Board for Tiny85-20PU DIP-8 IC US;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
401222026980-638884692027;fullness99;£2.89;5;Soil Humidity Hygrometer Moisture Detection Sensor Module Arduino With Wires Hot;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
322486803176-1754075117011;nik_fil;£1.95;1;LM393 chip high voltage high current dual differential comparator 10 pcs/lot;https://i.ebayimg.com/images/i/322486803176-0-0/s-l140/p.jpg
282282648523-1652537459018;bonitaeshop*;£0.62;1;5Pcs L7805 Lm7805 7805 Voltage Regulator +5V 1.5A Ic Diy Develope New S;https://i.ebayimg.com/images/i/282282648523-0-0/s-l140/p.jpg
282288875249-1652537458018;bonitaeshop*;£0.63;1;2Pcs Tl074 Tl074cn Op Amp Quad Jfet Dip-14 New Ic D;https://i.ebayimg.com/images/i/282288875249-0-0/s-l140/p.jpg
141975830551-1378973650004;caelectronics8;£0.58;1;5PCS IC TL072CP TL072 DIP-8 chorus delay OP AMPS NEW;https://i.ebayimg.com/images/i/141975830551-0-0/s-l140/p.jpg
381984240396-791723571025;pjsparker;£1.36;1;10Pcs Lm336-2.5V Lm336 Voltage Reference Diode 2.5V To-92 Voltage Regulator Ne Z;https://i.ebayimg.com/images/i/381984240396-0-0/s-l140/p.jpg
131760018714-1329285939003;czb6721960;£0.76;1;100PCS 2N3906 TO-92 General Propose PNP Transistor;https://i.ebayimg.com/images/i/131760018714-0-0/s-l140/p.jpg
191981905297-1368267650009;cayin35;£3.19;1;1/2/5/10PCS ESP8266 ESP-12E Wireless Remote Serial WIFI Transceiver Board Module;https://i.ebayimg.com/images/i/191981905297-0-0/s-l140/p.jpg
272041594362-1788200210017;chips-fans;£2.93;1;100Pcs 5mm 4pin RGB Tri-Color Common Cathode LED light Red Green Blue CF;https://i.ebayimg.com/images/i/272041594362-0-0/s-l140/p.jpg
272269944467-1788196534017;gogo-life;£0.97;1;10Pcs Prototype Paper PCB Universal Experiment Matrix Circuit Board Stripboard;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
262136736064-1982443924016;good-module;£0.64;1;5Pcs LM317T LM317 Voltage Regulator IC 1.2V to 37V 1.5 GM;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
291747151634-1417633435019;*foosoo;£0.63;1;100Pcs Do-35 Switching Signal Doide 1N4148 In4148 Develope New Ic Diy O;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
221950605426-1878218312012;kingelectronics15;£1.41;1;2PCS 50A 1000V Metal Case Single Phases Diode Bridge Rectifier KBPC5010;https://i.ebayimg.com/images/i/221950605426-0-0/s-l140/p.jpg
272334369254-1788189523017;sensecore;£0.85;1;2PCS Mini SD Card Module Memory Module Micro SD TF Card Module Arduino ARM AVR;https://i.ebayimg.com/images/i/272334369254-0-0/s-l140/p.jpg
122370325543-1760521307002;nonvoy;£8.06;1;66Pcs DIP IC Sockets Adaptor Solder Type Socket Kit 6/8/14/16/18/20/24/28 Pins;https://i.ebayimg.com/images/i/122370325543-0-0/s-l140/p.jpg
201810853073-1496907286010;tradeshopeu;£5.27;1;1 mm 18 AWG Gauge 130 gr ~18 m (4.5 oz) Enameled Copper Magnet Wire Coil;https://i.ebayimg.com/images/i/201810853073-0-0/s-l140/p.jpg
262578599411-1978986656016;unicom2087;£0.61;1;1.5M/5ft 2.0mm Copper Desoldering Braid Solder Remover Wick Wire Cable CA;https://i.ebayimg.com/images/i/262578599411-0-0/s-l140/p.jpg
380887255552-789464630025;findyours;£1.45;1;FTDI FT232RL USB zu TTL Serien Converter Adapter Modul 5V 3.3V Für Arduino;https://i.ebayimg.com/images/i/380887255552-0-0/s-l140/p.jpg
361563963768-843496707023;redrose999;£0.76;1;5pcs 15x17mm Black Knob Cap Mini Aluminum Alloy Ø6mm Potentiometer Knobs;https://i.ebayimg.com/images/i/361563963768-0-0/s-l140/p.jpg
272041783405-1783920057017;chips-fans;£1.43;1;5PCS Soil Hygrometer Detection Module Soil Moisture Sensor Probes New;https://i.ebayimg.com/images/i/272041783405-0-0/s-l140/p.jpg
112233879905-1632910346001;fulllove365;£1.16;2;RF transmitter and receiver link kit for Arduino/ARM/MC U remote control O9;https://i.ebayimg.com/images/i/112233879905-0-0/s-l140/p.jpg
182313811695-1625112718008;gowin_electronic;£2.70;1;10PCS IRLB8743 IC Chip TO-220 TOP Quality;https://i.ebayimg.com/images/i/182313811695-0-0/s-l140/p.jpg
400985208367-613234669027;survy2014;£1.29;1;15 values 3296 trimmer trim pot resistor potentiometer kits 15pcs (one each );https://i.ebayimg.com/images/i/400985208367-0-0/s-l140/p.jpg
262703036164-1970411435016;millionfashion2016;£2.15;1;5/10/20pcs CCTV DC Power Female Male Connector Cable Pigtail Plug Wire 5.5x2.1mm;https://i.ebayimg.com/images/i/262703036164-0-0/s-l140/p.jpg
262703036164-1970411434016;millionfashion2016;£2.15;1;5/10/20pcs CCTV DC Power Female Male Connector Cable Pigtail Plug Wire 5.5x2.1mm;https://i.ebayimg.com/images/i/262703036164-0-0/s-l140/p.jpg
391441323451-724969080026;beemodel2009a;£0.85;1;20pcs Mini Slide Switch SPDT 2.0mm Pitch 2 Tap Position 3Pin 4.44*8.72*3.95mm B;https://i.ebayimg.com/images/i/391441323451-0-0/s-l140/p.jpg
262197641840-1969967220016;electronics_blaster;£0.85;1;10pcs 8*8mm 6pin DIP Self-Lock Type Square Push Button Contact Switch;https://i.ebayimg.com/images/i/262197641840-0-0/s-l140/p.jpg
272553710666-1777666706017;sensecore;£0.85;1;10PCS SN74HC595N 74HC595D 8-Bit Serial Input/Output Parallel Register DIP-16;https://i.ebayimg.com/images/i/272553710666-0-0/s-l140/p.jpg
181846888859-1621742693008;satisfyelectronics;£1.44;1;2PCS MAX7221CNG MAX7221 MAXIM DRVR DSPLY LED 8DIG 24-DIP NEW GOOD QUALITY;https://i.ebayimg.com/images/i/181846888859-0-0/s-l140/p.jpg
201258939212-1490291388010;alice1101983;£0.97;1;10Pcs ULN2803A ULN2803 2803 TRANSISTOR ARRAY-8 NPN IC;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
201415103151-1490291389010;survy2014;£0.76;1;2pcs NEW CD4021 CD4021BE CMOS STATIC SHIFT REG DIP16 DIP-16 TI IC;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
201415076859-1490291390010;survy2014;£2.51;1;1PCS Slave HC-06 Wireless Bluetooth Transeiver RF Master Module for Arduino;https://i.ebayimg.com/images/i/201415076859-0-0/s-l140/p.jpg
400985339070-612858699027;survy2014;£0.93;1;5pcs LM3915N-1 DIP-18 LM3915 DIP18 NSC Dot/Bar Dispaly Driver;https://i.ebayimg.com/images/i/400985339070-0-0/s-l140/p.jpg
381407284114-785514817025;survy2014;£1.69;1;10 pcs 100K ohm Linear Taper Rotary Potentiometer Panel pot B100K 15mm NEW;https://i.ebayimg.com/images/i/381407284114-0-0/s-l140/p.jpg
322191143692-1716460549011;2012topdeal;£6.84;1;5 10 20 50 pcs 1W 3W High Power 8Type UV ultraviolet 365-410nm LED Lamp Light;https://i.ebayimg.com/images/i/322191143692-0-0/s-l140/p.jpg
302115356912-1355397306020;huanshop2015;£2.48;1;New 300pcs 30value 1ohm-3M 1/2W Carbon Film Resistor Assortment Kits Set;https://i.ebayimg.com/images/i/302115356912-0-0/s-l140/p.jpg
192063853682-1360710609009;robotmaker2015;£1.98;1;100Pcs 10 Values 102K-681K 2KV High-voltage Ceramic Capacitors Assorted Kit;https://i.ebayimg.com/images/i/192063853682-0-0/s-l140/p.jpg
140807529817-1370136407004;czb6721960;£0.83;1;10PCS DS1307 DS1307N DIP-8 RTC SERIAL 512K I2C Real-Time Clock IC;https://i.ebayimg.com/images/i/140807529817-0-0/s-l140/p.jpg
130762322417-1321161162003;czb6721960;£1.52;1;5Pcs IR Receiver Module 38 KHz TSOP4838 DIP-3;https://i.ebayimg.com/images/i/130762322417-0-0/s-l140/p.jpg
281647830739-1642379579018;universalegoods;£1.89;1;Mini Direct Current 0.36 Inch LED Digital Display Tube Ammeter Meter Panel New;https://i.ebayimg.com/images/i/281647830739-0-0/s-l140/p.jpg
251374689866-2003504910015;panpan-supermarket;£3.56;1;64 values 1280pcs 1 ohm - 10M ohm 1/4W Metal Film Resistors Assortment Kit;https://i.ebayimg.com/images/i/251374689866-0-0/s-l140/p.jpg
171417751314-1660635221007;gowin_electronic;£1.05;1;1PCS 3-wire 0.36`LED DC Digital Voltmeter Panel Meter 0-32V Blue COLOR;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
262722726390-1969966715016;roboticreep;£14.97;1;Solderless Breadboard Protoboard Tie-point 3220 Hole PCB Prototype Board;https://ir.ebaystatic.com/cr/v/c1/stockimage1.jpg
221849044117-1867558956012;joinus2010;£2.32;1;Keypad Shield LCD1602 Starter Kit for Arduino Duemilanove UNO MEGA2560 MEGA1280;https://i.ebayimg.com/images/i/221849044117-0-0/s-l140/p.jpg
222410260462-1867558125012;longtianoa;£2.98;1;1000 Pcs 50 Values Ceramic Disc Capacitors Kits New;https://i.ebayimg.com/images/i/222410260462-0-0/s-l140/p.jpg
141751990352-1370137194004;hj_021tongxian;£3.65;1;DC-DC Adjustable Step-down Power Supply Module Voltage Current LCD Display Shell;https://i.ebayimg.com/images/i/141751990352-0-0/s-l140/p.jpg
351819018569-873068204022;omgift;£1.29;1;5PCS 3 Pin 4 Pin 5 pin JST Connector Male & Female Plug Socket Connecting Cable;https://i.ebayimg.com/images/i/351819018569-0-0/s-l140/p.jpg
391420048862-724968218026;harborelectroniczone;£3.38;1;P6100 100MHz Oscilloscope Scope Clip Probe 100MHz For Tektronix HP DY;https://i.ebayimg.com/images/i/391420048862-0-0/s-l140/p.jpg
172482662407-1657237412007;12deeping;£5.65;1;Mega 2560 R3 REV3 ATmega2560-16AU Board USB Cable Compatible For Arduino#DB;https://i.ebayimg.com/images/i/172482662407-0-0/s-l140/p.jpg
